bank_txn_id,reference,date,amount,currency,payee,description,source_status
BNK-200642,REF-617420,2026-03-24,-13386.26,USD,"Brown, Middleton and Williams",Payout Execution,settled
BNK-200643,REF-767671,02/15/2026,-9563.28,GBP,Rose-Gonzales,ACH DEBIT,settled
BNK-200644,REF-595890,2026-03-15,-17364.07,USD,Dudley Ltd,Payout Execution,settled
BNK-200645,REF-728180,2026-03-03,-16438.9,EUR,Matthews PLC,Payout Execution,settled
BNK-200646,REF-565969,2026-04-16,-8590.19,EUR,Pierce Inc,ACH DEBIT,settled
BNK-200647,REF-590083,03/28/2026,-7618.22,EUR,"Hernandez, Hill and Hull",Vendor Settlement,settled
BNK-200648,REF-698469,01/16/2026,-2447.07,USD,Brown LLC,WIRE TRANSFER,settled
BNK-200649,REF-523589,2026-01-30,-12570.06,GBP,"Ball, Henderson and Caldwell",Vendor Settlement,settled
BNK-200650,REF-530224,2026-02-23,-9599.25,GBP,Gonzalez Inc,ACH DEBIT,settled
BNK-200651,REF-636174,2026-03-12,-592.42,GBP,"Collins, Gardner and Shaw",WIRE TRANSFER,settled
BNK-200652,REF-935456,01/31/2026,-11493.34,GBP,Crawford Ltd,WIRE TRANSFER,settled
BNK-200653,REF-921079,2026-01-11,-21679.89,EUR,Pennington PLC,ACH DEBIT,settled
BNK-200654,REF-988217,2026-01-20,-10729.0,USD,Hawkins-Saunders,WIRE TRANSFER,settled
BNK-200655,REF-356616,04/08/2026,-11469.59,GBP,Randolph and Sons,ACH DEBIT,settled
BNK-200656,REF-764686,2026-03-15,-17852.23,eur,Mcdowell-Watts,Payout Execution,settled
BNK-200657,REF-633296,2026-04-05,-14616.26,EUR,"Snow, Rodgers and Miller",Vendor Settlement,settled
BNK-200658,REF-167898,2026-03-28,-4405.3,EUR,"Robinson, Bauer and Brown",Payout Execution,settled
BNK-200659,REF-632064,2026-02-12,-16614.5,EUR,"EVANS, CONWAY AND HALL",WIRE TRANSFER,settled
BNK-200660,REF-390955,2026-03-12,-4456.33,GBP,MATTHEWS PLC,WIRE TRANSFER,settled
BNK-200661,REF-601532,2026-01-26,-7988.49,GBP,Gonzalez-Pennington,ACH DEBIT,settled
BNK-200662,REF-363976,01/02/2026,-14733.72,GBP,Reed PLC,Vendor Settlement,settled
BNK-200663,REF-106833,2026-03-05,-15657.4,usd,Jones-Taylor,Vendor Settlement,settled
BNK-200664,REF-420218,2026-03-07,-19077.24,USD,Ibarra-Clark,WIRE TRANSFER,settled
BNK-200665,REF-724143,03/26/2026,-8158.89,GBP,Davis PLC,Vendor Settlement,settled
BNK-200666,REF-523709,04/08/2026,-14093.08,EUR,DICKSON-PADILLA,WIRE TRANSFER,settled
BNK-200667,REF-874915,03/13/2026,-19778.23,eur,Gardner Inc,Vendor Settlement,settled
BNK-200668,REF-393750,02/06/2026,-17202.83,GBP,"Salinas, Barnes and Cooper",Vendor Settlement,settled
BNK-200669,ref309709,03/17/2026,-20612.16,USD,Mcclain-Jensen,ACH DEBIT,settled
BNK-200670,REF-436873,01/25/2026,-22629.96,EUR,Wright Group,ACH DEBIT,settled
BNK-200671,REF-116988,02/26/2026,-20796.07,USD,Fitzgerald PLC,Vendor Settlement,settled
BNK-200672,REF-176633,2026-04-09,-14358.78,EUR,MITCHELL-JONES,Vendor Settlement,settled
BNK-200673,REF-108952,01/03/2026,-14379.08,USD,"Collins, Gardner and Shaw",WIRE TRANSFER,settled
BNK-200674,REF-659333,2026-01-10,-5173.45,USD,Cobb Group,WIRE TRANSFER,settled
BNK-200675,REF-560996,2026-04-23,-19314.32,USD,Elliott-Wallace,Payout Execution,settled
BNK-200676,REF-270795,01/16/2026,-12679.92,GBP,"Drake, Torres and Murray",ACH DEBIT,settled
BNK-200677,REF-204926,04/21/2026,-206.21,EUR,Smith-Gaines,Payout Execution,settled
BNK-200678,REF-263324,2026-03-08,-4454.53,USD,"Hernandez, Wade and Rodriguez",Vendor Settlement,settled
BNK-200679,ref214705,02/16/2026,-18555.62,GBP,"Smith, Guerra and Holmes",Vendor Settlement,settled
BNK-200680,REF-899541,02/20/2026,-22841.58,USD,STONE AND SONS,ACH DEBIT,settled
BNK-200681,REF-599377,02/10/2026,-3381.77,GBP,Joseph Group,ACH DEBIT,settled
BNK-200682,ref186181,2026-03-28,-20141.05,USD,Hernandez-Diaz,Vendor Settlement,settled
BNK-200683,REF-872182,2026-03-16,-8215.4,EUR,"BROWN, MIDDLETON AND WILLIAMS",ACH DEBIT,settled
BNK-200684,REF-325272,02/28/2026,-4714.01,GBP,Mccoy-Mccarthy,Vendor Settlement,settled
BNK-200685,REF-997805,03/28/2026,-19305.89,EUR,Li-Martinez,WIRE TRANSFER,settled
BNK-200686,REF-557351,2026-03-01,-3179.32,EUR,Ibarra-Clark,WIRE TRANSFER,settled
BNK-200687,ref656334,2026-04-23,-13151.23,USD,Randall-Kerr,WIRE TRANSFER,settled
BNK-200688,REF-410899,02/22/2026,-21460.92,EUR,"Luna, Morris and Gill",Vendor Settlement,settled
BNK-200689,REF-604293,2026-01-19,-1504.08,EUR,"Cox, Fernandez and Baker",Payout Execution,settled
BNK-200690,REF-875584,04/05/2026,-3532.5,EUR,"PINEDA, TRAVIS AND JONES",ACH DEBIT,settled
BNK-200691,REF-739668,04/07/2026,-7488.08,USD,Morris Inc,ACH DEBIT,settled
BNK-200692,REF-405247,04/08/2026,-21909.15,GBP,"Salinas, Barnes and Cooper",Payout Execution,settled
BNK-200693,REF-540030,2026-02-14,-22620.67,GBP,Jones-Fuentes,Payout Execution,settled
BNK-200694,REF-644176,2026-03-21,-14027.75,GBP,"Bell, Pollard and Berry",WIRE TRANSFER,settled
BNK-200695,REF-648159,03/15/2026,-8698.93,EUR,JONES-TURNER,WIRE TRANSFER,settled
BNK-200696,REF-816189,2026-04-16,-18233.21,EUR,Robinson Group,Vendor Settlement,settled
BNK-200697,REF-193186,2026-04-21,-19529.68,USD,Cooper PLC,ACH DEBIT,settled
BNK-200698,REF-453371,02/15/2026,-6635.39,gbp,Lee-Taylor,Vendor Settlement,settled
BNK-200699,REF-376163,04/20/2026,-4985.52,usd,Mccoy-Mccarthy,Vendor Settlement,settled
BNK-200700,REF-335372,2026-03-07,-16696.35,eur,Thornton and Sons,ACH DEBIT,settled
BNK-200701,REF-935502,2026-04-02,-15690.7,EUR,"Hansen, Herrera and Taylor",WIRE TRANSFER,settled
BNK-200702,REF-428712,2026-03-10,-2438.12,GBP,Moore LLC,ACH DEBIT,settled
BNK-200703,REF-160341,03/26/2026,-577.33,eur,Walters LLC,Vendor Settlement,settled
BNK-200704,REF-807440,04/01/2026,-16553.48,eur,Murray Group,Vendor Settlement,settled
BNK-200705,REF-269038,2026-04-06,-15355.92,GBP,"HOWARD, RUSSO AND SMITH",Payout Execution,settled
BNK-200706,REF-988422,01/19/2026,-20127.73,EUR,Davis PLC,WIRE TRANSFER,settled
BNK-200707,REF-162019,2026-03-15,-13108.59,usd,Roach and Sons,ACH DEBIT,settled
BNK-200708,REF-816367,2026-01-13,-4565.12,USD,Hammond Ltd,Payout Execution,settled
BNK-200709,REF-289180,2026-03-31,-23377.44,USD,Mitchell-Byrd,Payout Execution,settled
BNK-200710,REF-523923,2026-04-12,-3556.0,EUR,WADE PLC,Vendor Settlement,settled
BNK-200711,REF-307661,2026-04-09,-7081.97,USD,Howe and Sons,Vendor Settlement,settled
BNK-200712,REF-422038,01/14/2026,-13200.56,USD,Wade PLC,ACH DEBIT,settled
BNK-200713,REF-488837,2026-03-09,-18470.04,GBP,Dickson Inc,ACH DEBIT,settled
BNK-200714,REF-404550,04/29/2026,-5170.6,GBP,"Miller, Anderson and Padilla",WIRE TRANSFER,settled
BNK-200715,REF-698254,03/31/2026,-15553.55,EUR,BEST INC,Payout Execution,settled
BNK-200716,REF-904390,2026-04-01,-15672.76,eur,Allen Group,Payout Execution,settled
BNK-200717,ref697801,2026-04-21,-7138.05,EUR,"Rodriguez, Sutton and Santiago",Payout Execution,settled
BNK-200718,REF-899582,01/13/2026,-5735.41,EUR,"Short, Moore and Douglas",ACH DEBIT,settled
BNK-200719,REF-362985,04/21/2026,-14230.81,USD,"Wilson, Robertson and Gonzalez",ACH DEBIT,settled
BNK-200720,REF-683902,2026-02-06,-1757.84,USD,"Waller, Bass and Mitchell",WIRE TRANSFER,settled
BNK-200721,ref506351,2026-04-17,-9545.8,gbp,Welch-Peck,Payout Execution,settled
BNK-200722,REF-767625,02/15/2026,-17079.96,GBP,Davis Group,WIRE TRANSFER,settled
BNK-200723,REF-530305,2026-03-02,-20141.13,USD,Allen Group,Payout Execution,settled
BNK-200724,REF-518259,2026-03-27,-11601.34,EUR,"Martinez, Joseph and Simmons",Vendor Settlement,settled
BNK-200725,REF-669197,01/16/2026,-5357.5,usd,Allen Ltd,WIRE TRANSFER,settled
BNK-200726,REF-882208,2026-02-06,-9664.62,GBP,Anderson-Parks,WIRE TRANSFER,settled
BNK-200727,REF-994016,2026-02-12,-2166.61,USD,Johnson Inc,ACH DEBIT,settled
BNK-200728,REF-259401,2026-01-21,-7261.28,USD,Roberts Group,Vendor Settlement,settled
BNK-200729,REF-497798,03/11/2026,-18897.95,USD,"Rodriguez, Evans and Patterson",WIRE TRANSFER,settled
BNK-200730,REF-754344,2026-01-19,-22165.11,USD,"Curry, Wolfe and Ramirez",ACH DEBIT,settled
BNK-200731,REF-638362,2026-01-26,-24792.76,eur,Kim Group,Vendor Settlement,settled
BNK-200732,ref236996,2026-01-07,-16493.78,EUR,Mccoy Ltd,ACH DEBIT,settled
BNK-200733,REF-302273,2026-03-13,-3330.19,EUR,"Hansen, Herrera and Taylor",ACH DEBIT,settled
BNK-200734,REF-348455,04/16/2026,-9350.37,USD,"Roberts, Frazier and Smith",WIRE TRANSFER,settled
BNK-200735,REF-196158,2026-02-03,-17611.09,USD,Cochran Inc,WIRE TRANSFER,settled
BNK-200736,ref293910,2026-02-28,-11743.53,GBP,Roach and Sons,WIRE TRANSFER,settled
BNK-200737,REF-532308,03/20/2026,-4081.53,GBP,"Thompson, Cooper and Young",Vendor Settlement,settled
BNK-200738,REF-901566,03/30/2026,-15505.64,EUR,Rose-Gonzales,Vendor Settlement,settled
BNK-200739,REF-672435,02/12/2026,-9276.83,EUR,Rogers Inc,Payout Execution,settled
BNK-200740,REF-432108,2026-04-12,-10504.44,USD,"Cox, Fernandez and Baker",WIRE TRANSFER,settled
BNK-200741,REF-621480,01/04/2026,-3768.75,EUR,Mullins-Cabrera,Payout Execution,settled
BNK-200742,REF-840319,02/12/2026,-8850.4,USD,Smith and Sons,ACH DEBIT,settled
BNK-200743,REF-395590,03/10/2026,-15300.38,GBP,Allen and Sons,ACH DEBIT,settled
BNK-200744,REF-457309,03/15/2026,-15855.94,EUR,Robbins LLC,WIRE TRANSFER,settled
BNK-200745,REF-255561,04/09/2026,-12786.24,usd,Arnold-Beck,WIRE TRANSFER,settled
BNK-200746,REF-750801,04/17/2026,-15835.92,EUR,Morgan-Mckinney,WIRE TRANSFER,settled
BNK-200747,REF-628617,2026-04-14,-18393.98,USD,Simmons-Green,Vendor Settlement,settled
BNK-200748,REF-500576,03/24/2026,-19400.53,USD,Hays-Dalton,Payout Execution,settled
BNK-200749,REF-972210,02/18/2026,-13825.56,EUR,Roberts LLC,ACH DEBIT,settled
BNK-200750,REF-166980,2026-03-05,-18076.35,gbp,Reeves Ltd,Vendor Settlement,settled
BNK-200751,REF-262512,2026-04-01,-13128.87,GBP,Spears-Beck,WIRE TRANSFER,settled
BNK-200752,REF-343967,04/08/2026,-11980.36,USD,Jones Group,ACH DEBIT,settled
BNK-200753,ref711046,01/31/2026,-5023.11,USD,Ingram PLC,Payout Execution,settled
BNK-200754,REF-737134,2026-04-08,-12784.22,USD,Juarez-Jones,Payout Execution,settled
BNK-200755,REF-697905,04/10/2026,-18576.76,USD,WALTERS PLC,WIRE TRANSFER,settled
BNK-200756,REF-507446,2026-04-05,-21512.44,USD,Cooper PLC,Vendor Settlement,settled
BNK-200757,REF-566679,02/09/2026,-21432.72,EUR,Joseph Group,Payout Execution,settled
BNK-200758,REF-579123,2026-02-03,-22465.58,EUR,Roberts LLC,WIRE TRANSFER,settled
BNK-200759,REF-166357,03/05/2026,-6769.92,gbp,Randall-Kerr,Payout Execution,settled
BNK-200760,ref940896,2026-01-27,-17754.8,GBP,Webster and Sons,ACH DEBIT,settled
BNK-200761,REF-960581,2026-03-01,-7180.76,USD,Shaw-Stuart,Payout Execution,settled
BNK-200762,ref477832,02/23/2026,-20360.33,EUR,Morris Inc,WIRE TRANSFER,settled
BNK-200763,REF-930763,2026-04-15,-21281.17,GBP,"Cox, Fernandez and Baker",ACH DEBIT,settled
BNK-200764,REF-514146,03/14/2026,-12242.27,EUR,Dudley Ltd,WIRE TRANSFER,settled
BNK-200765,REF-892514,2026-02-01,-12392.69,usd,WONG PLC,ACH DEBIT,settled
BNK-200766,REF-522576,2026-03-26,-23776.54,EUR,Robinson Group,Payout Execution,settled
BNK-200767,REF-665200,04/07/2026,-6413.16,EUR,Arnold-Beck,Payout Execution,settled
BNK-200768,ref732929,02/01/2026,-11380.79,GBP,"Johnson, Phillips and Brown",ACH DEBIT,settled
BNK-200769,REF-830994,2026-02-07,-1750.76,USD,Moore LLC,Payout Execution,settled
BNK-200770,REF-180552,2026-04-18,-10682.62,GBP,"FREY, MCGEE AND BAILEY",WIRE TRANSFER,settled
BNK-200771,REF-245967,01/22/2026,-20215.25,USD,Cobb Group,Payout Execution,settled
BNK-200772,REF-684352,03/04/2026,-10480.15,USD,"Yu, Nguyen and Wood",WIRE TRANSFER,settled
BNK-200773,ref375782,03/14/2026,-16505.05,gbp,DUDLEY LTD,WIRE TRANSFER,settled
BNK-200774,REF-798258,2026-03-14,-12767.15,USD,Reynolds-Harris,WIRE TRANSFER,settled
BNK-200775,REF-897460,2026-01-19,-3674.16,USD,"Liu, Parsons and Delacruz",Vendor Settlement,settled
BNK-200776,REF-861785,2026-03-28,-19521.28,USD,King-George,Payout Execution,settled
BNK-200777,REF-188963,03/15/2026,-15005.55,EUR,"Owen, Gibson and Johnson",Vendor Settlement,settled
BNK-200778,REF-815321,05/01/2026,-12798.21,eur,Walters LLC,Vendor Settlement,settled
BNK-200779,REF-428258,01/31/2026,-21871.92,GBP,Fitzgerald PLC,Payout Execution,settled
BNK-200780,REF-820480,01/27/2026,-20061.05,GBP,"Thompson, Cooper and Young",Vendor Settlement,settled
BNK-200781,REF-383891,2026-04-04,-9390.59,EUR,Reynolds-Torres,Payout Execution,settled
BNK-200782,REF-390551,04/18/2026,-23370.41,GBP,"Clarke, Johnson and Watson",ACH DEBIT,settled
BNK-200783,ref173693,2026-04-20,-19009.11,USD,Allen Group,WIRE TRANSFER,settled
BNK-200784,REF-748347,2026-01-31,-7122.6,USD,Ford Ltd,Vendor Settlement,settled
BNK-200785,REF-743964,04/06/2026,-23862.97,USD,"Roberts, Frazier and Smith",WIRE TRANSFER,settled
BNK-200786,ref323753,02/27/2026,-10893.95,GBP,Pennington PLC,Payout Execution,settled
BNK-200787,REF-506743,03/21/2026,-8068.95,EUR,"Owens, Peters and White",WIRE TRANSFER,settled
BNK-200788,REF-690672,04/06/2026,-15020.88,EUR,"Murphy, Jordan and Whitney",ACH DEBIT,settled
BNK-200789,REF-372482,2026-04-28,-8722.05,EUR,Johnson-Ruiz,Vendor Settlement,settled
BNK-200790,REF-256268,2026-02-28,-6278.52,GBP,Howard LLC,ACH DEBIT,settled
BNK-200791,REF-946964,2026-01-06,-23551.85,USD,Rodriguez LLC,Vendor Settlement,settled
BNK-200792,REF-121724,04/21/2026,-21388.8,EUR,Fitzgerald PLC,Vendor Settlement,settled
BNK-200793,REF-242505,02/18/2026,-16012.4,USD,Smith and Sons,Payout Execution,settled
BNK-200794,ref138185,2026-04-14,-4193.22,EUR,Kennedy-Marks,Payout Execution,settled
BNK-200795,REF-719110,2026-03-01,-10902.55,gbp,Rivera-Stanley,Payout Execution,settled
BNK-200796,REF-252607,02/03/2026,-11595.9,EUR,Flynn-Matthews,Payout Execution,settled
BNK-200797,ref631331,02/09/2026,-1717.2,eur,Maxwell-Shepherd,Vendor Settlement,settled
BNK-200798,REF-229287,2026-03-17,-7141.06,USD,"Drake, Torres and Murray",Payout Execution,settled
BNK-200799,ref330935,2026-02-24,-2352.41,EUR,Jones-Graham,WIRE TRANSFER,settled
BNK-200800,REF-606110,04/04/2026,-4105.7,usd,Hodge PLC,Vendor Settlement,settled
BNK-200801,REF-800188,2026-01-22,-15797.32,EUR,"GRAHAM, FERGUSON AND HILL",Payout Execution,settled
BNK-200802,REF-370157,2026-04-13,-1305.88,GBP,Mcclain-Jensen,WIRE TRANSFER,settled
BNK-200803,REF-270336,02/03/2026,-14175.16,EUR,COCHRAN INC,Payout Execution,settled
BNK-200804,REF-615753,04/24/2026,-2977.7,USD,"Salinas, Barnes and Cooper",Vendor Settlement,settled
BNK-200805,REF-549359,2026-03-12,-19909.95,USD,SCHNEIDER LTD,WIRE TRANSFER,settled
BNK-200806,ref424814,2026-01-23,-16659.8,USD,Reynolds LLC,WIRE TRANSFER,settled
BNK-200807,REF-742501,2026-04-18,-15395.49,GBP,"Chavez, Davis and Walton",ACH DEBIT,settled
BNK-200808,REF-574489,04/15/2026,-16633.59,GBP,Davis PLC,Vendor Settlement,settled
BNK-200809,REF-570726,2026-01-19,-14702.39,USD,Rivera-Stanley,ACH DEBIT,settled
BNK-200810,REF-151288,01/09/2026,-3934.36,USD,Hammond Ltd,Vendor Settlement,settled
BNK-200811,REF-197744,02/24/2026,-210.8,USD,Davis Group,WIRE TRANSFER,settled
BNK-200812,REF-964366,04/11/2026,-8446.07,USD,Reynolds-Torres,WIRE TRANSFER,settled
BNK-200813,REF-448762,02/06/2026,-13481.34,EUR,Mckinney-Cooper,Payout Execution,settled
BNK-200814,REF-707716,04/01/2026,-22290.51,USD,NGUYEN-ROBERTS,ACH DEBIT,settled
BNK-200815,REF-708358,2026-03-05,-19228.3,GBP,Flynn-Matthews,Vendor Settlement,settled
BNK-200816,REF-885813,01/19/2026,-23665.8,USD,"Evans, Conway and Hall",WIRE TRANSFER,settled
BNK-200817,ref103489,04/20/2026,-1928.74,USD,Phillips-Wyatt,Payout Execution,settled
BNK-200818,REF-927326,02/15/2026,-16708.26,EUR,"Hobbs, Blanchard and Porter",ACH DEBIT,settled
BNK-200819,REF-946489,01/16/2026,-768.98,EUR,"Gray, Williams and Weaver",ACH DEBIT,settled
BNK-200820,REF-144003,01/31/2026,-9697.2,GBP,Shaw-Stuart,ACH DEBIT,settled
BNK-200821,REF-678399,03/14/2026,-14832.32,EUR,Garcia and Sons,Payout Execution,settled
BNK-200822,REF-456454,02/06/2026,-17405.27,EUR,Smith Ltd,ACH DEBIT,settled
BNK-200823,REF-449999,2026-04-10,-9079.24,USD,Hodge PLC,ACH DEBIT,settled
BNK-200824,REF-449455,2026-03-27,-7814.51,eur,Leach-Walker,Payout Execution,settled
BNK-200825,REF-696655,2026-03-27,-2073.19,USD,"Short, Moore and Douglas",WIRE TRANSFER,settled
BNK-200826,REF-321257,02/27/2026,-12329.0,usd,"Pena, Jones and Sanchez",Payout Execution,settled
BNK-200827,REF-525244,2026-01-17,-16217.23,EUR,Joseph Group,WIRE TRANSFER,settled
BNK-200828,ref218083,2026-02-07,-17109.6,USD,Hunt PLC,Payout Execution,settled
BNK-200829,REF-388426,03/30/2026,-24431.82,EUR,Garcia Ltd,WIRE TRANSFER,settled
BNK-200830,REF-581031,2026-04-08,-11602.97,USD,"Pena, Jones and Sanchez",ACH DEBIT,settled
BNK-200831,REF-599997,2026-04-19,-11247.34,gbp,Jones-Graham,Payout Execution,settled
BNK-200832,REF-790271,2026-02-06,-13062.66,GBP,"Evans, Conway and Hall",WIRE TRANSFER,settled
BNK-200833,ref695539,02/24/2026,-8201.23,GBP,Griffin Inc,Vendor Settlement,settled
BNK-200834,REF-999464,01/07/2026,-15624.87,USD,"Martinez, Joseph and Simmons",ACH DEBIT,settled
BNK-200835,REF-176130,2026-04-05,-5143.86,EUR,Shaw-Decker,Vendor Settlement,settled
BNK-200836,REF-457369,2026-01-12,-16084.41,eur,Kirk-Morales,WIRE TRANSFER,settled
BNK-200837,ref703638,01/31/2026,-2524.84,GBP,"Clarke, Johnson and Watson",ACH DEBIT,settled
BNK-200838,REF-239070,2026-01-27,-18317.69,usd,Kirk-Morales,WIRE TRANSFER,settled
BNK-200839,REF-496452,03/06/2026,-3869.39,usd,Mcdowell-Watts,WIRE TRANSFER,settled
BNK-200840,REF-810034,04/26/2026,-6671.85,GBP,Edwards-Boyd,WIRE TRANSFER,settled
BNK-200841,REF-525529,2026-01-27,-15166.88,GBP,Holmes and Sons,ACH DEBIT,settled
BNK-200842,REF-643114,2026-01-07,-22735.59,GBP,Ramsey-Caldwell,ACH DEBIT,settled
BNK-200843,REF-614335,2026-02-24,-13733.96,USD,Mckinney-Cooper,ACH DEBIT,settled
BNK-200844,REF-902663,2026-01-05,-24818.98,eur,"Savage, Garcia and Robinson",ACH DEBIT,settled
BNK-200845,REF-257050,04/04/2026,-1454.76,GBP,Thornton and Sons,ACH DEBIT,settled
BNK-200846,REF-926602,03/21/2026,-3785.67,eur,Colon Group,ACH DEBIT,settled
BNK-200847,REF-228914,03/14/2026,-13262.63,EUR,"LEWIS, JOYCE AND ROBERTSON",Vendor Settlement,settled
BNK-200848,REF-352067,01/28/2026,-15634.8,USD,LEWIS-ROBINSON,WIRE TRANSFER,settled
BNK-200849,REF-682791,2026-04-26,-6339.06,GBP,"Pineda, Travis and Jones",WIRE TRANSFER,settled
BNK-200850,REF-168713,2026-03-28,-10007.73,USD,"Frey, Mcgee and Bailey",Vendor Settlement,settled
BNK-200851,REF-324263,2026-02-25,-9222.21,GBP,"Waller, Bass and Mitchell",Payout Execution,settled
BNK-200852,REF-669868,2026-02-15,-4685.06,USD,Shaw-Stuart,Vendor Settlement,settled
BNK-200853,REF-287123,2026-03-09,-9225.09,GBP,Colon Group,Vendor Settlement,settled
BNK-200854,REF-651773,2026-04-18,-24244.05,EUR,Maxwell-Shepherd,ACH DEBIT,settled
BNK-200855,REF-722138,01/31/2026,-13620.84,GBP,Mullins-Cabrera,ACH DEBIT,settled
BNK-200856,REF-584141,2026-01-15,-18966.0,eur,"Collins, Gardner and Shaw",ACH DEBIT,settled
BNK-200857,REF-821836,02/02/2026,-20943.98,GBP,Green Ltd,Payout Execution,settled
BNK-200858,REF-733016,02/09/2026,-3369.81,usd,"Hernandez, Greer and Jackson",WIRE TRANSFER,settled
BNK-200859,REF-326057,05/03/2026,-4887.78,GBP,Mata Inc,ACH DEBIT,settled
BNK-200860,REF-122286,2026-03-23,-23518.18,USD,JOHNSON-RUIZ,WIRE TRANSFER,settled
BNK-200861,ref517155,02/21/2026,-13018.43,usd,Smith-Ortiz,WIRE TRANSFER,settled
BNK-200862,REF-292312,03/13/2026,-1325.0,EUR,Jones-Fuentes,WIRE TRANSFER,settled
BNK-200863,REF-932371,2026-01-03,-2917.82,EUR,Griffin Inc,WIRE TRANSFER,settled
BNK-200864,ref824679,2026-03-01,-1358.67,GBP,Goodwin-Martinez,WIRE TRANSFER,settled
BNK-200865,REF-756369,03/22/2026,-10086.31,GBP,Brown Ltd,Payout Execution,settled
BNK-200866,REF-122306,2026-02-09,-3694.62,GBP,"Nelson, Bowers and Cooper",ACH DEBIT,settled
BNK-200867,REF-687043,03/14/2026,-19412.31,EUR,"Graham, Garrett and Caldwell",Payout Execution,settled
BNK-200868,REF-736203,2026-03-08,-7754.81,GBP,Hunt-Whitney,ACH DEBIT,settled
BNK-200869,ref555237,03/21/2026,-24540.41,GBP,Coffey-Howell,WIRE TRANSFER,settled
BNK-200870,REF-689083,2026-01-03,-10187.95,USD,"Ramirez, Hernandez and Fox",Vendor Settlement,settled
BNK-200871,REF-934963,2026-03-18,-9981.8,USD,Esparza-Carroll,WIRE TRANSFER,settled
BNK-200872,REF-900329,04/26/2026,-1588.56,USD,"Miller, Anderson and Padilla",ACH DEBIT,settled
BNK-200873,ref873566,2026-04-21,-2025.61,GBP,Gonzalez-Pennington,Payout Execution,settled
BNK-200874,REF-270196,02/20/2026,-11030.22,GBP,"Molina, Wells and Bright",WIRE TRANSFER,settled
BNK-200875,REF-150011,04/29/2026,-18131.58,eur,Arnold-Beck,Vendor Settlement,settled
BNK-200876,REF-279567,2026-04-02,-23855.98,EUR,Robinson Group,WIRE TRANSFER,settled
BNK-200877,REF-590448,2026-01-18,-5968.38,GBP,WASHINGTON-WEST,Vendor Settlement,settled
BNK-200878,REF-145090,03/07/2026,-1218.45,EUR,Bowman LLC,ACH DEBIT,settled
BNK-200879,REF-114694,2026-01-10,-16690.23,usd,"Russell, Scott and Ramsey",Payout Execution,settled
BNK-200880,REF-962500,04/24/2026,-5865.77,EUR,Ford Ltd,Payout Execution,settled
BNK-200881,REF-620580,2026-02-21,-11353.0,GBP,ROACH AND SONS,WIRE TRANSFER,settled
BNK-200882,ref791593,2026-03-29,-16855.23,USD,"Garner, Lawson and Richard",WIRE TRANSFER,settled
BNK-200883,REF-723033,2026-04-07,-8201.63,EUR,Reed PLC,Vendor Settlement,settled
BNK-200884,REF-982653,03/28/2026,-23786.21,GBP,Nguyen-Roberts,WIRE TRANSFER,settled
BNK-200885,REF-580127,2026-03-06,-8685.81,GBP,Prince-Martinez,Payout Execution,settled
BNK-200886,REF-758315,04/05/2026,-6890.63,USD,Cooper Ltd,Payout Execution,settled
BNK-200887,REF-774554,2026-04-14,-12360.33,GBP,"Bates, Diaz and Lowe",Vendor Settlement,settled
BNK-200888,ref578816,2026-03-31,-9538.96,GBP,"Davis, Kim and Ingram",Vendor Settlement,settled
BNK-200889,REF-769307,01/24/2026,-4922.78,EUR,Bowman LLC,WIRE TRANSFER,settled
BNK-200890,REF-658933,01/25/2026,-6536.69,GBP,Thompson-Washington,WIRE TRANSFER,settled
BNK-200891,REF-845134,03/22/2026,-2577.96,GBP,Kelly-Murphy,Vendor Settlement,settled
BNK-200892,REF-808236,04/28/2026,-214.87,EUR,Barrera Group,Vendor Settlement,settled
BNK-200893,REF-442640,2026-01-15,-2227.98,EUR,Allen-Taylor,ACH DEBIT,settled
BNK-200894,ref907151,2026-02-06,-23819.45,USD,Gallegos-Stewart,ACH DEBIT,settled
BNK-200895,REF-948400,03/14/2026,-10069.79,USD,"Davis, Kim and Ingram",Payout Execution,settled
BNK-200896,REF-762880,03/12/2026,-24579.27,GBP,Robbins LLC,Vendor Settlement,settled
BNK-200897,REF-992351,2026-05-05,-24635.02,USD,Ramsey-Caldwell,ACH DEBIT,settled
BNK-200898,REF-603871,2026-02-13,-1754.33,USD,"Fox, Hernandez and Ryan",Vendor Settlement,settled
BNK-200899,REF-406884,2026-04-05,-10591.23,GBP,Rhodes Ltd,ACH DEBIT,settled
BNK-200900,ref250169,03/21/2026,-20912.56,USD,Walters PLC,WIRE TRANSFER,settled
BNK-200901,REF-191322,04/03/2026,-19179.2,EUR,Garcia Ltd,Vendor Settlement,settled
BNK-200902,REF-789625,2026-02-20,-12785.43,GBP,Allen-Taylor,Payout Execution,settled
BNK-200903,REF-978560,2026-01-24,-23146.73,GBP,"Clarke, Johnson and Watson",ACH DEBIT,settled
BNK-200904,REF-274654,2026-04-26,-13839.58,USD,Lane-Hines,Vendor Settlement,settled
BNK-200905,REF-120510,02/03/2026,-5491.18,EUR,Zimmerman and Sons,WIRE TRANSFER,settled
BNK-200906,REF-358462,02/14/2026,-11017.54,USD,Nguyen-White,Vendor Settlement,settled
BNK-200907,REF-482003,2026-04-13,-20312.71,USD,Thompson-Campbell,Vendor Settlement,settled
BNK-200908,REF-639318,2026-03-28,-8749.09,USD,Brown-Huynh,ACH DEBIT,settled
